Brand,HotelFeatures,HotelAttributes,KidsServices,Price,altID,obsID,qID,respID
Intercontinental,Connected room guaranteed,Variety of restaurants,Kids activities planned by hotel staff,AU 245,2,36,3,4
Intercontinental,Central or desirable location,Variety of restaurants,Kids activities planned by hotel staff,AU 295,1,37,4,4
Marriott,Connected room guaranteed,Access to sports facilities,Kids Club,AU 195,2,37,4,4
Novotel,Family activities located nearby,All inclusive,Kids activities planned by hotel staff,AU 220,1,38,5,4
Intercontinental,Pool,Complimentary breakfast,Kids Club,AU 245,2,38,5,4
Hilton,Pool,Variety of restaurants,Playground or Kids only play areas,AU 245,1,39,6,4
DoubleTree,Central or desirable location,Access to sports facilities,Kids eat free,AU 270,2,39,6,4
Novotel,Central or desirable location,Access to sports facilities,Kids themed rooms,AU 245,1,40,7,4
Intercontinental,Connected room guaranteed,Babysitting service,Kids activities planned by hotel staff,AU 270,2,40,7,4
Marriott,Central or desirable location,Complimentary breakfast,Kids Club,AU 220,1,41,8,4
Hilton,Connected room guaranteed,Variety of restaurants,Playground or Kids only play areas,AU 245,2,41,8,4
Marriott,Family activities located nearby,Variety of restaurants,Kids Club,AU 195,1,42,9,4
Hilton,Pool,Access to sports facilities,Playground or Kids only play areas,AU 220,2,42,9,4
Intercontinental,Family activities located nearby,Babysitting service,Playground or Kids only play areas,AU 195,1,43,10,4
Marriott,Pool,All inclusive,Kids eat free,AU 220,2,43,10,4
Hilton,Pool,Access to sports facilities,Kids eat free,AU 295,1,44,11,4
DoubleTree,Central or desirable location,Babysitting service,Kids themed rooms,AU 195,2,44,11,4
Hilton,Family activities located nearby,Variety of restaurants,Kids Club,AU 270,1,45,1,5
DoubleTree,Pool,Access to sports facilities,Playground or Kids only play areas,AU 295,2,45,1,5
Novotel,Connected room guaranteed,Access to sports facilities,Kids Club,AU 295,1,46,2,5
Intercontinental,Large spacious rooms,Babysitting service,Playground or Kids only play areas,AU 195,2,46,2,5
Hilton,Connected room guaranteed,Variety of restaurants,Kids Club,AU 220,1,47,3,5
DoubleTree,Large spacious rooms,Access to sports facilities,Playground or Kids only play areas,AU 245,2,47,3,5
Marriott,Connected room guaranteed,Access to sports facilities,Kids Club,AU 270,1,48,4,5
Hilton,Large spacious rooms,Babysitting service,Playground or Kids only play areas,AU 295,2,48,4,5
Novotel,Family activities located nearby,Babysitting service,Kids themed rooms,AU 295,1,49,5,5
Intercontinental,Pool,All inclusive,Kids activities planned by hotel staff,AU 195,2,49,5,5
Hilton,Family activities located nearby,All inclusive,Kids activities planned by hotel staff,AU 195,1,50,6,5
DoubleTree,Pool,Complimentary breakfast,Kids Club,AU 220,2,50,6,5
DoubleTree,Connected room guaranteed,All inclusive,Kids themed rooms,AU 195,1,51,7,5
Novotel,Large spacious rooms,Complimentary breakfast,Kids activities planned by hotel staff,AU 220,2,51,7,5
Intercontinental,Central or desirable location,Babysitting service,Kids activities planned by hotel staff,AU 270,1,52,8,5
Marriott,Connected room guaranteed,All inclusive,Kids Club,AU 295,2,52,8,5
Intercontinental,Family activities located nearby,Variety of restaurants,Kids activities planned by hotel staff,AU 295,1,53,9,5
Marriott,Pool,Access to sports facilities,Kids Club,AU 195,2,53,9,5
Intercontinental,Family activities located nearby,Complimentary breakfast,Kids activities planned by hotel staff,AU 295,1,54,10,5
Marriott,Pool,Variety of restaurants,Kids Club,AU 195,2,54,10,5
Novotel,Connected room guaranteed,Access to sports facilities,Kids activities planned by hotel staff,AU 295,1,55,11,5
Intercontinental,Large spacious rooms,Babysitting service,Kids Club,AU 195,2,55,11,5
Intercontinental,Large spacious rooms,Access to sports facilities,Kids activities planned by hotel staff,AU 270,1,56,1,6
Marriott,Family activities located nearby,Babysitting service,Kids Club,AU 295,2,56,1,6
Intercontinental,Connected room guaranteed,Complimentary breakfast,Kids themed rooms,AU 270,1,57,2,6
Marriott,Large spacious rooms,Variety of restaurants,Kids activities planned by hotel staff,AU 295,2,57,2,6
Intercontinental,Pool,All inclusive,Playground or Kids only play areas,AU 245,1,58,3,6
Marriott,Central or desirable location,Complimentary breakfast,Kids eat free,AU 270,2,58,3,6
Marriott,Family activities located nearby,Access to sports facilities,Playground or Kids only play areas,AU 295,1,59,4,6
Hilton,Pool,Babysitting service,Kids eat free,AU 195,2,59,4,6
Intercontinental,Connected room guaranteed,Babysitting service,Kids Club,AU 295,1,60,5,6
Marriott,Large spacious rooms,All inclusive,Playground or Kids only play areas,AU 195,2,60,5,6
Marriott,Pool,All inclusive,Kids eat free,AU 295,1,61,6,6
Hilton,Central or desirable location,Complimentary breakfast,Kids themed rooms,AU 195,2,61,6,6
Intercontinental,Connected room guaranteed,All inclusive,Kids activities planned by hotel staff,AU 245,1,62,7,6
Marriott,Large spacious rooms,Complimentary breakfast,Kids Club,AU 270,2,62,7,6
DoubleTree,Family activities located nearby,Access to sports facilities,Kids themed rooms,AU 195,1,63,8,6
Novotel,Pool,Babysitting service,Kids activities planned by hotel staff,AU 220,2,63,8,6
Marriott,Pool,Complimentary breakfast,Kids activities planned by hotel staff,AU 245,1,64,9,6
Hilton,Central or desirable location,Variety of restaurants,Kids Club,AU 270,2,64,9,6
Hilton,Connected room guaranteed,Variety of restaurants,Kids eat free,AU 245,1,65,10,6
DoubleTree,Large spacious rooms,Access to sports facilities,Kids themed rooms,AU 270,2,65,10,6
DoubleTree,Family activities located nearby,Complimentary breakfast,Kids themed rooms,AU 220,1,66,11,6
Novotel,Pool,Variety of restaurants,Kids activities planned by hotel staff,AU 245,2,66,11,6
Marriott,Central or desirable location,Access to sports facilities,Kids activities planned by hotel staff,AU 220,1,67,1,7
Hilton,Connected room guaranteed,Babysitting service,Kids Club,AU 245,2,67,1,7
Novotel,Large spacious rooms,Access to sports facilities,Playground or Kids only play areas,AU 195,1,68,2,7
Intercontinental,Family activities located nearby,Babysitting service,Kids eat free,AU 220,2,68,2,7
Hilton,Large spacious rooms,All inclusive,Playground or Kids only play areas,AU 270,1,69,3,7
DoubleTree,Family activities located nearby,Complimentary breakfast,Kids eat free,AU 295,2,69,3,7
Hilton,Central or desirable location,Access to sports facilities,Playground or Kids only play areas,AU 220,1,70,4,7
DoubleTree,Connected room guaranteed,Babysitting service,Kids eat free,AU 245,2,70,4,7
Marriott,Large spacious rooms,Babysitting service,Kids themed rooms,AU 245,1,71,5,7
Hilton,Family activities located nearby,All inclusive,Kids activities planned by hotel staff,AU 270,2,71,5,7
Novotel,Central or desirable location,Access to sports facilities,Kids eat free,AU 270,1,72,6,7
Intercontinental,Connected room guaranteed,Babysitting service,Kids themed rooms,AU 295,2,72,6,7
DoubleTree,Family activities located nearby,Access to sports facilities,Kids activities planned by hotel staff,AU 245,1,73,7,7
Novotel,Pool,Babysitting service,Kids Club,AU 270,2,73,7,7
Intercontinental,Central or desirable location,Variety of restaurants,Kids eat free,AU 195,1,74,8,7
Marriott,Connected room guaranteed,Access to sports facilities,Kids themed rooms,AU 220,2,74,8,7
Hilton,Family activities located nearby,Babysitting service,Kids themed rooms,AU 220,1,75,9,7
DoubleTree,Pool,All inclusive,Kids activities planned by hotel staff,AU 245,2,75,9,7
Intercontinental,Central or desirable location,Babysitting service,Kids themed rooms,AU 270,1,76,10,7
Marriott,Connected room guaranteed,All inclusive,Kids activities planned by hotel staff,AU 295,2,76,10,7
Intercontinental,Family activities located nearby,Babysitting service,Kids eat free,AU 195,1,77,11,7
Marriott,Pool,All inclusive,Kids themed rooms,AU 220,2,77,11,7
Novotel,Large spacious rooms,All inclusive,Playground or Kids only play areas,AU 245,1,78,1,8
Intercontinental,Family activities located nearby,Complimentary breakfast,Kids eat free,AU 270,2,78,1,8
Novotel,Pool,Access to sports facilities,Playground or Kids only play areas,AU 220,1,79,2,8
Intercontinental,Central or desirable location,Babysitting service,Kids eat free,AU 245,2,79,2,8
Intercontinental,Large spacious rooms,Babysitting service,Kids activities planned by hotel staff,AU 195,1,80,3,8
Marriott,Family activities located nearby,All inclusive,Kids Club,AU 220,2,80,3,8
Hilton,Central or desirable location,Access to sports facilities,Playground or Kids only play areas,AU 195,1,81,4,8
DoubleTree,Connected room guaranteed,Babysitting service,Kids eat free,AU 220,2,81,4,8
Intercontinental,Large spacious rooms,Babysitting service,Kids themed rooms,AU 295,1,82,5,8
Marriott,Family activities located nearby,All inclusive,Kids activities planned by hotel staff,AU 195,2,82,5,8
DoubleTree,Connected room guaranteed,Complimentary breakfast,Kids eat free,AU 195,1,83,6,8
Novotel,Large spacious rooms,Variety of restaurants,Kids themed rooms,AU 220,2,83,6,8
DoubleTree,Connected room guaranteed,Babysitting service,Playground or Kids only play areas,AU 220,1,84,7,8
Novotel,Large spacious rooms,All inclusive,Kids eat free,AU 245,2,84,7,8
Intercontinental,Central or desirable location,All inclusive,Kids eat free,AU 220,1,85,8,8
Marriott,Connected room guaranteed,Complimentary breakfast,Kids themed rooms,AU 245,2,85,8,8
DoubleTree,Connected room guaranteed,All inclusive,Kids eat free,AU 295,1,86,9,8
Novotel,Large spacious rooms,Complimentary breakfast,Kids themed rooms,AU 195,2,86,9,8
Novotel,Central or desirable location,Access to sports facilities,Playground or Kids only play areas,AU 295,1,87,10,8
Intercontinental,Connected room guaranteed,Babysitting service,Kids eat free,AU 195,2,87,10,8
Novotel,Central or desirable location,Babysitting service,Kids Club,AU 245,1,88,11,8
Intercontinental,Connected room guaranteed,All inclusive,Playground or Kids only play areas,AU 270,2,88,11,8
Marriott,Pool,Babysitting service,Kids eat free,AU 245,1,89,1,9
Hilton,Central or desirable location,All inclusive,Kids themed rooms,AU 270,2,89,1,9
Hilton,Large spacious rooms,Access to sports facilities,Kids eat free,AU 195,1,90,2,9
DoubleTree,Family activities located nearby,Babysitting service,Kids themed rooms,AU 220,2,90,2,9
Hilton,Connected room guaranteed,Complimentary breakfast,Kids eat free,AU 270,1,91,3,9
DoubleTree,Large spacious rooms,Variety of restaurants,Kids themed rooms,AU 295,2,91,3,9
Hilton,Pool,Complimentary breakfast,Playground or Kids only play areas,AU 270,1,92,4,9
DoubleTree,Central or desirable location,Variety of restaurants,Kids eat free,AU 295,2,92,4,9
Novotel,Central or desirable location,Babysitting service,Kids activities planned by hotel staff,AU 270,1,93,5,9
Intercontinental,Connected room guaranteed,All inclusive,Kids Club,AU 295,2,93,5,9
Novotel,Pool,Access to sports facilities,Playground or Kids only play areas,AU 270,1,94,6,9
Intercontinental,Central or desirable location,Babysitting service,Kids eat free,AU 295,2,94,6,9
Marriott,Large spacious rooms,Access to sports facilities,Kids themed rooms,AU 270,1,95,7,9
Hilton,Family activities located nearby,Babysitting service,Kids activities planned by hotel staff,AU 295,2,95,7,9
Hilton,Large spacious rooms,Complimentary breakfast,Kids themed rooms,AU 245,1,96,8,9
DoubleTree,Family activities located nearby,Variety of restaurants,Kids activities planned by hotel staff,AU 270,2,96,8,9
Intercontinental,Connected room guaranteed,Access to sports facilities,Kids activities planned by hotel staff,AU 220,1,97,9,9
Marriott,Large spacious rooms,Babysitting service,Kids Club,AU 245,2,97,9,9
Marriott,Central or desirable location,Access to sports facilities,Playground or Kids only play areas,AU 270,1,98,10,9
Hilton,Connected room guaranteed,Babysitting service,Kids eat free,AU 295,2,98,10,9
Novotel,Connected room guaranteed,Babysitting service,Kids eat free,AU 220,1,99,11,9
Intercontinental,Large spacious rooms,All inclusive,Kids themed rooms,AU 245,2,99,11,9
Marriott,Pool,All inclusive,Kids eat free,AU 270,1,100,1,10
Hilton,Central or desirable location,Complimentary breakfast,Kids themed rooms,AU 295,2,100,1,10
Hilton,Large spacious rooms,Access to sports facilities,Kids Club,AU 220,1,101,2,10
DoubleTree,Family activities located nearby,Babysitting service,Playground or Kids only play areas,AU 245,2,101,2,10
Hilton,Family activities located nearby,Variety of restaurants,Playground or Kids only play areas,AU 195,1,102,3,10
DoubleTree,Pool,Access to sports facilities,Kids eat free,AU 220,2,102,3,10
DoubleTree,Pool,Complimentary breakfast,Kids Club,AU 295,1,103,4,10
Novotel,Central or desirable location,Variety of restaurants,Playground or Kids only play areas,AU 195,2,103,4,10
Novotel,Family activities located nearby,Access to sports facilities,Kids themed rooms,AU 245,1,104,5,10
Intercontinental,Pool,Babysitting service,Kids activities planned by hotel staff,AU 270,2,104,5,10
Intercontinental,Connected room guaranteed,All inclusive,Playground or Kids only play areas,AU 270,1,105,6,10
Marriott,Large spacious rooms,Complimentary breakfast,Kids eat free,AU 295,2,105,6,10
Intercontinental,Pool,Babysitting service,Kids Club,AU 270,1,106,7,10
Marriott,Central or desirable location,All inclusive,Playground or Kids only play areas,AU 295,2,106,7,10
DoubleTree,Pool,Variety of restaurants,Kids eat free,AU 220,1,107,8,10
Novotel,Central or desirable location,Access to sports facilities,Kids themed rooms,AU 245,2,107,8,10
